"ID","Requirement","Priority","Target","Verify"
"ADV-001","Where screen or video capture is enabled, the system shall require explicit per-session activation or an administrator-approved rule.","P0","R10","Test/Demo"
"ADV-002","The system shall display separate indicators for audio, screen, and camera capture.","P0","R10","Demo"
"ADV-003","The system shall preserve audio-video synchronization and link transcript timestamps to video playback.","P1","R10","Test"
"ADV-004","The system shall allow users to create a clip by selecting transcript text, timestamps, or an extracted outcome.","P1","R10","Test/Demo"
"ADV-005","When a clip is created, the system shall preserve source provenance and allow redaction before export or sharing.","P1","R10","Test/Demo"
"ADV-006","The system shall calculate talk-time by identified speaker and disclose how silence, overlap, and unassigned speech are handled.","P1","R10","Test/Inspect"
"ADV-007","The system shall calculate configurable meeting metrics including questions, interruptions, speaking pace, topic duration, and action-item closure.","P2","R10","Test"
"ADV-008","Every calculated metric shall link to underlying segments or disclose the calculation method.","P0","R10","Test/Demo"
"ADV-009","The system shall allow users to disable individual analytics and coaching categories.","P1","R10","Demo"
"ADV-010","The system shall provide sales coaching focused on objections, questions, next steps, and evidence-backed follow-up.","P2","R10","Test/Demo"
"ADV-011","The system shall provide interview assistance focused on questions asked, candidate evidence, follow-ups, and rubric coverage without inferring protected traits.","P2","R10","Test/Audit"
"ADV-012","The system shall provide facilitation coaching focused on participation balance, unresolved decisions, and agenda coverage.","P2","R10","Test/Demo"
"ADV-013","The system shall provide presentation coaching focused on pace, filler words, question handling, and audience interaction.","P2","R10","Test/Demo"
"ADV-014","The system shall not assign personality, emotion, honesty, health, or protected-class labels from voice or video.","P0","R10","Audit/Test"
"ADV-015","The system shall generate recurring trend reports for approved projects, clients, teams, topics, objections, risks, requests, and decisions.","P1","R10","Test/Demo"
"ADV-016","When a trend report cites a change, the system shall link to the meetings and evidence that support the change.","P0","R10","Test/Demo"
"ADV-017","The system shall compare selected meetings and identify consistent, changed, resolved, and contradictory items.","P1","R10","Test/Demo"
"ADV-018","The system shall generate a next-meeting agenda from open tasks, unresolved questions, previous agenda coverage, and recent decisions.","P1","R10","Test/Demo"
"ADV-019","The system shall allow users to define insight rules such as â€œflag pricing objectionsâ€ or â€œtrack security commitments.â€","P2","R10","Test/Demo"
"ADV-020","Where an insight rule uses AI, the system shall show local model provenance, profile, and evidence links for each match.","P1","R10","Test"
"ADV-021","The system shall support expiring, access-controlled share links only through an explicitly configured self-hosted private deployment.","P2","R10","Test/Audit"
"ADV-022","When a share link is created, the system shall allow expiration, password, download, watermark, and view-scope controls.","P2","R10","Test/Demo"
"ADV-023","The system shall record share-link creation, access, change, and revocation events.","P1","R10","Test/Audit"
"ADV-024","The system shall allow users to revoke a share link immediately.","P0","R10","Test/Demo"
"CAP-001","The system shall capture microphone and system audio through platform-specific adapters that implement a common capture contract.","P0","R2","Test"
"CAP-002","When recording begins, the system shall create separate synchronized microphone and system-audio tracks when both sources are available.","P0","R2","Test"
"CAP-003","Where multitrack capture is unsupported, the system shall disclose the limitation and preserve source attribution to the greatest supported extent.","P0","R2","Test/Demo"
